id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2022-1664262,2022-01-03,000001,Vente,965000,31,,RUE CENSIER,1642,75005,75105,Paris 5e Arrondissement,75,,,75105000AU0078,,,294,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.35264,48.839924
2022-1664262,2022-01-03,000001,Vente,965000,31,,RUE CENSIER,1642,75005,75105,Paris 5e Arrondissement,75,,,75105000AU0078,,,366,62.68,37,,,,,,,,2,2,Appartement,63,3,,,,,,2.35264,48.839924
2022-1664262,2022-01-03,000001,Vente,965000,31,,RUE CENSIER,1642,75005,75105,Paris 5e Arrondissement,75,,,75105000AU0078,,,366,62.68,37,,,,,,,,2,3,Dépendance,,0,,,,,,2.35264,48.839924
2022-1664284,2022-01-10,000001,Vente,773200,6,,RUE DE L ESSAI,3368,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0055,,,64,48.46,,,,,,,,,1,3,Dépendance,,0,,,,,,2.358551,48.839648
2022-1664284,2022-01-10,000001,Vente,773200,6,,RUE DE L ESSAI,3368,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0055,,,64,48.46,,,,,,,,,1,2,Appartement,56,2,,,,,,2.358551,48.839648
2022-1664284,2022-01-10,000001,Vente,773200,6,,RUE DE L ESSAI,3368,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0055,,,64,48.46,,,,,,,,,1,3,Dépendance,,0,,,,,,2.358551,48.839648
2022-1664337,2022-01-18,000001,Vente,357800,63,,RUE MONGE,6432,75005,75105,Paris 5e Arrondissement,75,,,75105000AJ0115,,,39,28.31,,,,,,,,,1,2,Appartement,22,1,,,,,,2.352699,48.844139
2022-1664404,2022-01-04,000001,Vente,500000,14,,RUE DES LYONNAIS,5868,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0026,,,41,41.42,67,,,,,,,,2,3,Dépendance,,0,,,,,,2.347069,48.838438
2022-1664404,2022-01-04,000001,Vente,500000,14,,RUE DES LYONNAIS,5868,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0026,,,41,41.42,67,,,,,,,,2,3,Dépendance,,0,,,,,,2.347069,48.838438
2022-1664404,2022-01-04,000001,Vente,500000,14,,RUE DES LYONNAIS,5868,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0026,,,41,41.42,67,,,,,,,,2,2,Appartement,42,2,,,,,,2.347069,48.838438
2022-1664406,2022-01-06,000001,Vente,775000,6,,RUE GEOFFROY ST HILAIRE,4108,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0069,,,95,59.05,,,,,,,,,1,2,Appartement,58,2,,,,,,2.35709,48.839124
2022-1664406,2022-01-06,000001,Vente,775000,6,,RUE GEOFFROY ST HILAIRE,4108,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0069,,,95,59.05,,,,,,,,,1,3,Dépendance,,0,,,,,,2.35709,48.839124
2022-1664420,2022-01-17,000001,Vente,397200,8,,BD DE L HOPITAL,4649,75005,75105,Paris 5e Arrondissement,75,,,75105000AQ0023,,,131,,57,35.79,,,,,,,2,2,Appartement,35,2,,,,,,2.36314,48.842696
2022-1664420,2022-01-17,000001,Vente,397200,8,,BD DE L HOPITAL,4649,75005,75105,Paris 5e Arrondissement,75,,,75105000AQ0023,,,131,,57,35.79,,,,,,,2,3,Dépendance,,0,,,,,,2.36314,48.842696
2022-1664425,2022-01-21,000001,Vente,200000,8,,RUE DE LA HUCHETTE,4678,75005,75105,Paris 5e Arrondissement,75,,,75105000BP0018,,,5,24.03,,,,,,,,,1,2,Appartement,24,2,,,,,,2.346258,48.852938
