id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-570328,2023-01-05,000001,Vente,67000,115,,CRS FAURIEL,3390,42100,42218,Saint-Étienne,42,,,42218000HZ0045,,,622,,759,52.84,,,,,,,2,3,Dépendance,,0,,,,,,4.411071,45.421766
2023-570328,2023-01-05,000001,Vente,67000,115,,CRS FAURIEL,3390,42100,42218,Saint-Étienne,42,,,42218000HZ0045,,,622,,759,52.84,,,,,,,2,2,Appartement,52,1,,,,,,4.411071,45.421766
2023-570332,2023-01-03,000002,Vente,161280,,,RUE MOLINA,6030,42000,42218,Saint-Étienne,42,,,42218000DI0105,,,,,,,,,,,,,0,,,,,S,sols,,,1128,4.4017,45.465472
2023-570339,2023-01-04,000001,Vente,17000,16,,RUE ALBERT POYLO,0127,42000,42218,Saint-Étienne,42,,,42218000CO0033,,,183,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.384472,45.455875
2023-570342,2023-01-04,000001,Vente,155000,,,RUE PIERRE COPEL,7060,42100,42218,Saint-Étienne,42,,,42218000KR0105,,,,,,,,,,,,,0,,,,,S,sols,,,105,4.404859,45.417035
2023-570342,2023-01-04,000001,Vente,155000,9005,,RUE DE L ORPHELINAT,6510,42100,42218,Saint-Étienne,42,,,42218000KR0200,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,270,0,S,sols,,,396,4.404809,45.417288
2023-570342,2023-01-04,000001,Vente,155000,9003,,RUE DE L ORPHELINAT,6510,42100,42218,Saint-Étienne,42,,,42218000KR0203,,,,,,,,,,,,,0,,,,,S,sols,,,13,4.40485,45.41743
2023-570346,2023-01-06,000001,Vente,90000,4,B,RUE ALPHONSE MERRHEIM,0230,42100,42218,Saint-Étienne,42,,,42218000IM0033,,,775,,803,74.4,,,,,,,2,2,Appartement,74,4,,,,,,4.417814,45.42013
2023-570346,2023-01-06,000001,Vente,90000,2,,RUE ALPHONSE MERRHEIM,0230,42100,42218,Saint-Étienne,42,,,42218000IM0033,,,835,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.417814,45.42013
2023-570346,2023-01-06,000001,Vente,90000,2,,RUE ALPHONSE MERRHEIM,0230,42100,42218,Saint-Étienne,42,,,42218000IM0033,,,953,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.417814,45.42013
2023-570346,2023-01-06,000001,Vente,90000,4,B,RUE ALPHONSE MERRHEIM,0230,42100,42218,Saint-Étienne,42,,,42218000IM0033,,,775,,803,74.4,,,,,,,2,3,Dépendance,,0,,,,,,4.417814,45.42013
2023-570349,2023-01-04,000001,Vente,59000,17,,RUE CLOVIS HUGUES,2170,42000,42218,Saint-Étienne,42,,,42218000AO0019,,,31,54.16,53,,7,,,,,,3,3,Dépendance,,0,,,,,,4.382583,45.447879
2023-570349,2023-01-04,000001,Vente,59000,17,,RUE CLOVIS HUGUES,2170,42000,42218,Saint-Étienne,42,,,42218000AO0019,,,31,54.16,53,,7,,,,,,3,3,Dépendance,,0,,,,,,4.382583,45.447879
2023-570349,2023-01-04,000001,Vente,59000,17,,RUE CLOVIS HUGUES,2170,42000,42218,Saint-Étienne,42,,,42218000AO0019,,,31,54.16,53,,7,,,,,,3,2,Appartement,54,2,,,,,,4.382583,45.447879
2023-570350,2023-01-03,000001,Vente,95000,7,,RUE REMY DOUTRE,7570,42100,42218,Saint-Étienne,42,,,42218000LN0107,,,15,,,,,,,,,,1,2,Appartement,16,1,,,,,,4.391169,45.423109
2023-570350,2023-01-03,000001,Vente,95000,7,,RUE REMY DOUTRE,7570,42100,42218,Saint-Étienne,42,,,42218000LN0107,,,19,,,,,,,,,,1,2,Appartement,18,1,,,,,,4.391169,45.423109
2023-570358,2023-01-04,000001,Vente,135000,3,,RUE ALBERT POYLO,0127,42000,42218,Saint-Étienne,42,,,42218000CO0016,,,360,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.384078,45.454563
2023-570358,2023-01-04,000001,Vente,135000,3,,RUE ALBERT POYLO,0127,42000,42218,Saint-Étienne,42,,,42218000CO0016,,,361,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.384078,45.454563
2023-570358,2023-01-04,000001,Vente,135000,3,,RUE ALBERT POYLO,0127,42000,42218,Saint-Étienne,42,,,42218000CO0016,,,362,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.384078,45.454563
2023-570358,2023-01-04,000001,Vente,135000,3,,RUE ALBERT POYLO,0127,42000,42218,Saint-Étienne,42,,,42218000CO0016,,,364,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.384078,45.454563
2023-570358,2023-01-04,000001,Vente,135000,3,,RUE ALBERT POYLO,0127,42000,42218,Saint-Étienne,42,,,42218000CO0016,,,365,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.384078,45.454563
2023-570358,2023-01-04,000001,Vente,135000,3,,RUE ALBERT POYLO,0127,42000,42218,Saint-Étienne,42,,,42218000CO0016,,,369,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.384078,45.454563
2023-570358,2023-01-04,000001,Vente,135000,3,,RUE ALBERT POYLO,0127,42000,42218,Saint-Étienne,42,,,42218000CO0016,,,363,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.384078,45.454563
2023-570358,2023-01-04,000001,Vente,135000,3,,RUE ALBERT POYLO,0127,42000,42218,Saint-Étienne,42,,,42218000CO0016,,,353,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.384078,45.454563
2023-570358,2023-01-04,000001,Vente,135000,3,,RUE ALBERT POYLO,0127,42000,42218,Saint-Étienne,42,,,42218000CO0016,,,359,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.384078,45.454563
2023-570358,2023-01-04,000001,Vente,135000,3,,RUE ALBERT POYLO,0127,42000,42218,Saint-Étienne,42,,,42218000CO0016,,,354,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.384078,45.454563
2023-570363,2023-01-04,000001,Vente,65000,49,B,RUE DESIRE CLAUDE,2730,42100,42218,Saint-Étienne,42,,,42218000MX0041,,,3,,53,,,,,,,,2,3,Dépendance,,0,,,,,,4.389692,45.427054
2023-570363,2023-01-04,000001,Vente,65000,49,B,RUE DESIRE CLAUDE,2730,42100,42218,Saint-Étienne,42,,,42218000MX0041,,,3,,53,,,,,,,,2,2,Appartement,36,1,,,,,,4.389692,45.427054
2023-570368,2023-01-09,000001,Vente,56000,16,B,RUE DU GAL LECLERC,3950,42100,42218,Saint-Étienne,42,,,42218000PR0046,,,19,,55,57.84,,,,,,,2,2,Appartement,51,2,,,,,,4.38934,45.430232
2023-570373,2023-01-06,000001,Vente,113000,9,,RUE EDMOND CHARPENTIER,3000,42000,42218,Saint-Étienne,42,,,42218000AK0088,,,16,84.58,,,,,,,,,1,2,Appartement,84,3,,,,,,4.382644,45.451159
